x/y,0,17,34,51,68,85,102,119,136,153,170,187,204,221,238,255,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.009,0.016,0.021,0.024,0.027,0.033,0.04,0.047,0.053,0.057,0.062,0.067,0.072,0.078,0.083,0.081,
34,0.082,0.099,0.102,0.102,0.1,0.1,0.1,0.103,0.104,0.104,0.104,0.105,0.104,0.104,0.106,0.105,
51,0.14,0.145,0.148,0.15,0.157,0.16,0.163,0.166,0.171,0.174,0.176,0.176,0.177,0.179,0.18,0.178,
68,0.2,0.223,0.226,0.234,0.238,0.238,0.241,0.24,0.244,0.243,0.24,0.239,0.236,0.233,0.23,0.228,
85,0.22,0.24,0.249,0.259,0.267,0.273,0.279,0.284,0.292,0.295,0.297,0.301,0.301,0.303,0.302,0.3,
102,0.298,0.309,0.321,0.337,0.346,0.352,0.357,0.358,0.362,0.363,0.359,0.361,0.358,0.356,0.351,0.346,
119,0.338,0.353,0.367,0.387,0.399,0.412,0.42,0.427,0.432,0.433,0.432,0.432,0.432,0.429,0.425,0.423,
136,0.598,0.583,0.577,0.579,0.566,0.552,0.541,0.529,0.517,0.507,0.492,0.483,0.473,0.459,0.449,0.45,
153,0.666,0.665,0.663,0.659,0.642,0.629,0.612,0.595,0.579,0.567,0.549,0.534,0.52,0.5,0.487,0.488,
170,0.77,0.749,0.746,0.739,0.72,0.702,0.681,0.661,0.642,0.625,0.603,0.585,0.565,0.54,0.523,0.527,
187,0.809,0.801,0.802,0.799,0.788,0.774,0.759,0.743,0.728,0.714,0.696,0.681,0.663,0.638,0.62,0.624,
204,0.918,0.909,0.903,0.896,0.885,0.866,0.849,0.827,0.809,0.793,0.771,0.75,0.728,0.697,0.674,0.678,
221,0.942,0.944,0.945,0.937,0.929,0.916,0.903,0.887,0.871,0.857,0.839,0.819,0.802,0.775,0.752,0.761,
238,0.988,0.985,0.984,0.98,0.974,0.965,0.956,0.945,0.935,0.924,0.909,0.892,0.875,0.852,0.83,0.834,
255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
