Y/X,0,17,34,51,68,85,102,119,136,153,170,187,204,221,238,255,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.552,0.498,0.449,0.39,0.328,0.259,0.197,0.147,0.11,0.078,0.055,0.035,0.02,0.01,0.006,0.008,
34,0.112,0.126,0.138,0.142,0.144,0.144,0.138,0.128,0.118,0.104,0.088,0.07,0.057,0.04,0.03,0.029,
51,0.0,0.002,0.002,0.003,0.004,0.007,0.012,0.016,0.023,0.03,0.04,0.051,0.063,0.074,0.082,0.086,
68,0.003,0.005,0.007,0.009,0.014,0.019,0.025,0.03,0.036,0.039,0.045,0.051,0.053,0.053,0.052,0.049,
85,0.023,0.031,0.031,0.038,0.047,0.056,0.061,0.067,0.071,0.071,0.072,0.068,0.062,0.054,0.047,0.048,
102,0.005,0.01,0.012,0.016,0.021,0.028,0.035,0.043,0.051,0.06,0.063,0.067,0.072,0.071,0.068,0.064,
119,0.118,0.124,0.134,0.143,0.144,0.141,0.137,0.128,0.114,0.101,0.086,0.071,0.055,0.038,0.029,0.03,
136,0.0,0.0,0.001,0.001,0.003,0.004,0.007,0.01,0.014,0.019,0.026,0.034,0.044,0.054,0.065,0.065,
153,0.005,0.007,0.009,0.013,0.022,0.028,0.039,0.053,0.065,0.077,0.09,0.1,0.108,0.118,0.12,0.118,
170,0.012,0.027,0.037,0.043,0.054,0.068,0.076,0.086,0.092,0.097,0.097,0.093,0.09,0.082,0.07,0.066,
187,0.141,0.133,0.135,0.142,0.141,0.145,0.142,0.132,0.117,0.107,0.09,0.074,0.058,0.041,0.032,0.032,
204,0.0,0.001,0.002,0.003,0.005,0.008,0.013,0.018,0.025,0.031,0.041,0.052,0.062,0.073,0.082,0.088,
221,0.001,0.007,0.011,0.015,0.02,0.03,0.039,0.05,0.059,0.069,0.077,0.084,0.09,0.09,0.089,0.095,
238,0.029,0.028,0.032,0.039,0.052,0.061,0.072,0.08,0.086,0.087,0.088,0.087,0.082,0.077,0.065,0.059,
255,0.0,0.0,0.0,0.001,0.002,0.004,0.007,0.012,0.019,0.028,0.043,0.061,0.086,0.124,0.162,0.162,
